#chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction	anno	gene
chr6	168311207	168311556	10482683	10482691	Breast-Luminal-Ep	chr6:168311207-168311556	8CpGs	349bp	0.293	0.889	0.596	0.117	-0.0132	1.27e-16	U	intron	MLLT4
chr7	28933652	28933792	10862616	10862622	Breast-Luminal-Ep	chr7:28933652-28933792	6CpGs	140bp	0.254	0.842	0.588	0.189	-0.014	3.66e-13	U	Intergenic	TRIL
chr7	4871634	4871868	10645304	10645314	Breast-Luminal-Ep	chr7:4871634-4871868	10CpGs	234bp	0.221	0.877	0.656	0.376	-0.0154	1.3e-29	U	intron	RADIL
chr11	33332097	33332317	16308940	16308946	Breast-Luminal-Ep	chr11:33332097-33332317	6CpGs	220bp	0.23	0.94	0.71	0.463	-0.0158	2.16e-28	U	intron	HIPK3
chr12	41715048	41715676	17634077	17634082	Breast-Luminal-Ep	chr12:41715048-41715676	5CpGs	628bp	0.322	0.837	0.514	0.152	-0.0165	1.13e-12	U	intron	PDZRN4
chr1	235842979	235843592	2145959	2145965	Breast-Luminal-Ep	chr1:235842979-235843592	6CpGs	613bp	0.294	0.875	0.581	0.205	-0.0175	4.19e-17	U	intron	LYST
chr10	37471766	37471894	15040129	15040136	Breast-Luminal-Ep	chr10:37471766-37471894	7CpGs	128bp	0.271	0.872	0.601	0.257	-0.0178	1.25e-24	U	intron	ANKRD30A
chr2	118134453	118134531	3370466	3370472	Breast-Luminal-Ep	chr2:118134453-118134531	6CpGs	78bp	0.172	0.899	0.727	0.307	-0.0185	4.01e-18	U	Intergenic	DDX18
chr7	100030649	100030693	11507716	11507722	Breast-Luminal-Ep	chr7:100030649-100030693	6CpGs	44bp	0.291	0.917	0.625	0.191	-0.0219	8.68e-22	U	exon	MEPCE
chr2	242785871	242785935	4441552	4441557	Breast-Luminal-Ep	chr2:242785871-242785935	5CpGs	64bp	0.36	0.78	0.419	0.0698	-0.0249	1.69e-07	U	Intergenic	PDCD1
chr5	83314328	83315328	8224253	8224260	Breast-Luminal-Ep	chr5:83314328-83315328	7CpGs	1000bp	0.299	0.841	0.542	0.236	-0.0286	5.28e-16	U	intron	EDIL3
chr17	35545296	35545646	22663309	22663319	Breast-Luminal-Ep	chr17:35545296-35545646	10CpGs	350bp	0.174	0.947	0.773	0.675	-0.0287	3.09e-48	U	exon,intron	ACACA
chr10	415337	415421	14638434	14638441	Breast-Luminal-Ep	chr10:415337-415421	7CpGs	84bp	0.278	0.881	0.603	0.189	-0.0295	4.69e-14	U	intron	DIP2C
chr1	8043301	8043852	171677	171691	Breast-Luminal-Ep	chr1:8043301-8043852	14CpGs	551bp	0.331	0.933	0.602	0.384	-0.0307	1.07e-25	U	intron	PARK7
chr13	99793248	99793376	19173988	19173993	Breast-Luminal-Ep	chr13:99793248-99793376	5CpGs	128bp	0.326	0.873	0.547	0.229	-0.0312	9.72e-15	U	Intergenic	DOCK9
chr2	4566203	4566781	2349675	2349681	Breast-Luminal-Ep	chr2:4566203-4566781	6CpGs	578bp	0.327	0.833	0.507	0.173	-0.0323	2.6e-11	U	Intergenic	LOC727982
chr1	209961847	209961971	1888036	1888042	Breast-Luminal-Ep	chr1:209961847-209961971	6CpGs	124bp	0.258	0.793	0.535	0.217	-0.0324	7.94e-11	U	exon	IRF6
chr11	233160	233419	15986522	15986530	Breast-Luminal-Ep	chr11:233160-233419	8CpGs	259bp	0.101	0.877	0.776	0.579	-0.0337	1.65e-25	U	intron	SIRT3
chr7	70181784	70182081	11226689	11226694	Breast-Luminal-Ep	chr7:70181784-70182081	5CpGs	297bp	0.265	0.882	0.617	0.178	-0.0362	5.19e-15	U	intron	AUTS2
chr17	76460691	76460869	23213924	23213932	Breast-Luminal-Ep	chr17:76460691-76460869	8CpGs	178bp	0.381	0.908	0.527	0.104	-0.0364	1.28e-14	U	intron	DNAH17
chr5	117926096	117927343	8441943	8441952	Breast-Luminal-Ep	chr5:117926096-117927343	9CpGs	1247bp	0.366	0.875	0.509	0.196	-0.038	3.41e-15	U	Intergenic	MIR1244-1
chr1	175360913	175361134	1610895	1610900	Breast-Luminal-Ep	chr1:175360913-175361134	5CpGs	221bp	0.26	0.881	0.621	0.195	-0.0381	1.87e-17	U	intron	TNR
chr6	4937916	4938382	9118052	9118058	Breast-Luminal-Ep	chr6:4937916-4938382	6CpGs	466bp	0.282	0.871	0.589	0.202	-0.0393	8.46e-20	U	exon,intron	CDYL
chr2	6599311	6599439	2367102	2367109	Breast-Luminal-Ep	chr2:6599311-6599439	7CpGs	128bp	0.287	0.865	0.578	0.214	-0.0403	5.78e-16	U	Intergenic	LINC00487
chr1	36795568	36795743	599493	599498	Breast-Luminal-Ep	chr1:36795568-36795743	5CpGs	175bp	0.193	0.828	0.635	0.202	-0.0416	4.66e-15	U	Intergenic	EVA1B
chr12	52629059	52629174	17743206	17743211	Breast-Luminal-Ep	chr12:52629059-52629174	5CpGs	115bp	0.341	0.916	0.575	0.302	-0.0428	3.03e-24	U	exon	KRT7
chr5	11744467	11744717	7699365	7699370	Breast-Luminal-Ep	chr5:11744467-11744717	5CpGs	250bp	0.313	0.883	0.569	0.185	-0.0436	9.08e-14	U	intron	CTNND2
chr10	88317194	88317272	15455030	15455035	Breast-Luminal-Ep	chr10:88317194-88317272	5CpGs	78bp	0.328	0.852	0.524	0.142	-0.0439	1.89e-11	U	Intergenic	WAPAL
chr19	34755744	34755831	24624934	24624939	Breast-Luminal-Ep	chr19:34755744-34755831	5CpGs	87bp	0.282	0.822	0.541	0.152	-0.0444	4.92e-09	U	intron	KIAA0355
chr8	127577297	127577549	13176656	13176661	Breast-Luminal-Ep	chr8:127577297-127577549	5CpGs	252bp	0.263	0.837	0.573	0.145	-0.0449	1.17e-11	U	Intergenic	FAM84B
chr5	119322867	119323267	8451707	8451714	Breast-Luminal-Ep	chr5:119322867-119323267	7CpGs	400bp	0.282	0.835	0.553	0.161	-0.0463	1.92e-13	U	Intergenic	FAM170A
chr4	48679616	48680504	6546891	6546909	Colon-Ep	chr4:48679616-48680504	18CpGs	888bp	0.0156	0.967	0.951	0.892	0.84	6.44e-213	U	intron	FRYL
chr3	123667213	123667567	5430760	5430771	Colon-Ep	chr3:123667213-123667567	11CpGs	354bp	0.0518	0.962	0.91	0.84	0.688	2.12e-170	U	intron	CCDC14
chr10	105133978	105134444	15629901	15629908	Colon-Ep	chr10:105133978-105134444	7CpGs	466bp	0.0252	0.906	0.881	0.745	0.684	1.77e-104	U	intron	TAF5
chr1	167870100	167870517	1556756	1556761	Colon-Ep	chr1:167870100-167870517	5CpGs	417bp	0.0383	0.924	0.885	0.724	0.655	2.62e-113	U	intron	ADCY10
chr7	73407779	73408130	11272697	11272714	Colon-Ep	chr7:73407779-73408130	17CpGs	351bp	0.0524	0.929	0.877	0.719	0.637	3.19e-127	U	Intergenic	ELN
chr13	103262799	103263477	19209077	19209084	Colon-Ep	chr13:103262799-103263477	7CpGs	678bp	0.0428	0.94	0.897	0.749	0.636	3.64e-120	U	intron	TPP2
chr8	101226599	101227482	12983912	12983923	Colon-Ep	chr8:101226599-101227482	11CpGs	883bp	0.0519	0.942	0.89	0.745	0.625	5.35e-128	U	intron	SPAG1
chr4	48679336	48679573	6546882	6546890	Colon-Ep	chr4:48679336-48679573	8CpGs	237bp	0.0365	0.949	0.912	0.871	0.623	7.48e-164	U	intron	FRYL
chr5	80476007	80476312	8203975	8203983	Colon-Ep	chr5:80476007-80476312	8CpGs	305bp	0.0387	0.902	0.864	0.69	0.586	2.19e-101	U	intron	RASGRF2
chr16	30293866	30294426	21560630	21560639	Colon-Ep	chr16:30293866-30294426	9CpGs	560bp	0.0376	0.934	0.896	0.732	0.583	6.94e-107	U	intron	LOC440354
chr2	240940021	240940299	4401780	4401787	Colon-Ep	chr2:240940021-240940299	7CpGs	278bp	0.0928	0.924	0.831	0.712	0.577	8.43e-121	U	intron	NDUFA10
chr12	105319208	105319365	18150425	18150434	Colon-Ep	chr12:105319208-105319365	9CpGs	157bp	0.0523	0.952	0.899	0.796	0.576	4.76e-135	U	intron	SLC41A2
chr2	242735211	242735409	4440060	4440067	Colon-Ep	chr2:242735211-242735409	7CpGs	198bp	0.0417	0.939	0.898	0.76	0.571	2.84e-123	U	intron	GAL3ST2
chr8	22101450	22101686	12360386	12360395	Colon-Ep	chr8:22101450-22101686	9CpGs	236bp	0.0254	0.916	0.89	0.651	0.54	2.33e-92	U	TTS	MIR320A
chr10	114252502	114252720	15701631	15701637	Colon-Ep	chr10:114252502-114252720	6CpGs	218bp	0.0349	0.964	0.929	0.853	0.537	6.36e-133	U	intron	VTI1A
chr6	2030637	2031365	9080650	9080659	Colon-Ep	chr6:2030637-2031365	9CpGs	728bp	0.0295	0.926	0.896	0.725	0.535	2.93e-97	U	intron	GMDS
chr1	47905855	47906213	738700	738708	Colon-Ep	chr1:47905855-47906213	8CpGs	358bp	0.00875	0.892	0.883	0.611	0.523	8.63e-72	U	exon	FOXD2
chr22	33187198	33187740	26427074	26427086	Colon-Ep	chr22:33187198-33187740	12CpGs	542bp	0.0228	0.902	0.879	0.648	0.513	4.55e-81	U	intron	SYN3
chr6	4909889	4910097	9117689	9117697	Colon-Ep	chr6:4909889-4910097	8CpGs	208bp	0.0269	0.934	0.907	0.678	0.506	6.13e-94	U	intron	CDYL
chr15	32993304	32993383	20358801	20358808	Colon-Ep	chr15:32993304-32993383	7CpGs	79bp	0.0386	0.907	0.869	0.648	0.503	2.73e-82	U	Intergenic	GREM1
chr8	141594714	141595055	13297325	13297334	Colon-Ep	chr8:141594714-141595055	9CpGs	341bp	0.174	0.939	0.765	0.639	0.502	8.08e-134	U	intron	AGO2
chr14	62106209	62106229	19702375	19702380	Colon-Ep	chr14:62106209-62106229	5CpGs	20bp	0.0537	0.966	0.913	0.83	0.496	4.69e-150	U	intron	FLJ22447
chr2	74323528	74323723	3000769	3000774	Colon-Ep	chr2:74323528-74323723	5CpGs	195bp	0.0485	0.933	0.884	0.68	0.485	2.18e-98	U	intron	TET3
chr16	81453443	81453729	22004346	22004354	Colon-Ep	chr16:81453443-81453729	8CpGs	286bp	0.0393	0.94	0.901	0.774	0.484	4.26e-111	U	Intergenic	CMIP
chr8	141343678	141344378	13292415	13292423	Colon-Ep	chr8:141343678-141344378	8CpGs	700bp	0.115	0.951	0.836	0.664	0.482	1.39e-119	U	intron	TRAPPC9
chr21	38327885	38328845	26009066	26009079	Colon-Ep	chr21:38327885-38328845	13CpGs	960bp	0.172	0.935	0.763	0.664	0.482	1.67e-123	U	intron	HLCS
chr4	9148544	9148887	6249811	6249820	Colon-Ep	chr4:9148544-9148887	9CpGs	343bp	0.0835	0.943	0.859	0.656	0.478	2.47e-102	U	Intergenic	USP17L10
chr1	84769902	84771032	1017791	1017797	Colon-Ep	chr1:84769902-84771032	6CpGs	1130bp	0.0441	0.874	0.83	0.518	0.476	5.53e-55	U	intron	SAMD13
chr5	75774174	75774415	8158129	8158138	Colon-Ep	chr5:75774174-75774415	9CpGs	241bp	0.105	0.949	0.843	0.641	0.475	1.47e-100	U	intron	IQGAP2
chr2	208037779	208038079	4065591	4065597	Colon-Ep	chr2:208037779-208038079	6CpGs	300bp	0.0297	0.903	0.873	0.68	0.475	1.47e-85	U	Intergenic	KLF7
chr3	195992869	195993171	6041538	6041550	Colon-Ep	chr3:195992869-195993171	12CpGs	302bp	0.11	0.956	0.845	0.743	0.468	1.53e-128	U	intron	PCYT1A
chr15	100349643	100349873	21057237	21057246	Colon-Ep	chr15:100349643-100349873	9CpGs	230bp	0.0391	0.877	0.838	0.651	0.465	4.49e-79	U	Intergenic	DNM1P46
chr10	38373807	38374342	15047228	15047238	Colon-Ep	chr10:38373807-38374342	10CpGs	535bp	0.0824	0.885	0.802	0.552	0.461	1.54e-73	U	Intergenic	ZNF37A
chr7	100613596	100614210	11520771	11520788	Colon-Ep	chr7:100613596-100614210	17CpGs	614bp	0.073	0.879	0.806	0.669	0.457	5.27e-96	U	intron	MUC12
chr8	37625172	37626014	12505340	12505355	Colon-Ep	chr8:37625172-37626014	15CpGs	842bp	0.152	0.955	0.803	0.689	0.455	8.81e-145	U	intron	PROSC
chr13	66804770	66804865	18953542	18953547	Colon-Ep	chr13:66804770-66804865	5CpGs	95bp	0.0318	0.897	0.865	0.649	0.452	2.74e-83	U	Intergenic	PCDH9-AS2
chr1	184567735	184568230	1689047	1689052	Colon-Ep	chr1:184567735-184568230	5CpGs	495bp	0.129	0.915	0.785	0.545	0.452	1.71e-73	U	intron	C1orf21
chr3	42817049	42817794	4808360	4808365	Colon-Ep	chr3:42817049-42817794	5CpGs	745bp	0.0685	0.931	0.863	0.734	0.452	1.13e-104	U	Intergenic	CCDC13
chr17	18878792	18879283	22491428	22491444	Colon-Ep	chr17:18878792-18879283	16CpGs	491bp	0.0607	0.931	0.87	0.748	0.451	1.17e-120	U	intron	FAM83G
chr10	123042286	123042898	15792592	15792603	Colon-Ep	chr10:123042286-123042898	11CpGs	612bp	0.0217	0.911	0.889	0.623	0.448	8.1e-80	U	Intergenic	FGFR2
chr15	40993737	40994330	20429703	20429719	Colon-Ep	chr15:40993737-40994330	16CpGs	593bp	0.0926	0.937	0.844	0.668	0.446	5.93e-103	U	exon,intron	RAD51
chr2	101641800	101641846	3215672	3215677	Colon-Ep	chr2:101641800-101641846	5CpGs	46bp	0.0278	0.924	0.896	0.581	0.446	2.29e-69	U	intron	TBC1D8
chr1	32781801	32781880	548963	548970	Colon-Ep	chr1:32781801-32781880	7CpGs	79bp	0.0113	0.926	0.915	0.686	0.446	5.17e-88	U	intron	HDAC1
chr12	132423352	132423538	18516571	18516580	Colon-Ep	chr12:132423352-132423538	9CpGs	186bp	0.24	0.957	0.717	0.579	0.445	3.46e-125	U	intron	PUS1
chr5	78264332	78264567	8182090	8182098	Colon-Ep	chr5:78264332-78264567	8CpGs	235bp	0.0591	0.945	0.886	0.711	0.444	1.24e-93	U	intron	ARSB
chr6	149588777	149588813	10273475	10273480	Colon-Ep	chr6:149588777-149588813	5CpGs	36bp	0.0148	0.922	0.907	0.624	0.442	1.34e-73	U	Intergenic	TAB2
chr11	77389954	77390301	16783013	16783018	Colon-Ep	chr11:77389954-77390301	5CpGs	347bp	0.114	0.946	0.832	0.54	0.439	6.65e-91	U	intron	RSF1
chr7	65938011	65938940	11179759	11179776	Colon-Ep	chr7:65938011-65938940	17CpGs	929bp	0.0744	0.913	0.838	0.703	0.439	6.81e-104	U	Intergenic	LINC00174
chr13	111093702	111093906	19276902	19276907	Colon-Ep	chr13:111093702-111093906	5CpGs	204bp	0.0635	0.898	0.834	0.574	0.437	6.27e-70	U	intron	COL4A2
chr15	28365155	28365446	20299074	20299084	Colon-Ep	chr15:28365155-28365446	10CpGs	291bp	0.116	0.924	0.808	0.653	0.432	7.81e-105	U	intron	HERC2
chr5	56352219	56352629	8006391	8006398	Colon-Ep	chr5:56352219-56352629	7CpGs	410bp	0.101	0.946	0.845	0.714	0.431	2.03e-117	U	Intergenic	MIER3
chr12	131750166	131750335	18502396	18502404	Colon-Ep	chr12:131750166-131750335	8CpGs	169bp	0.0592	0.883	0.824	0.581	0.428	1.17e-76	U	Intergenic	LOC116437
chr6	111746133	111746428	10002579	10002585	Colon-Ep	chr6:111746133-111746428	6CpGs	295bp	0.249	0.939	0.689	0.491	0.422	6.86e-84	U	intron	REV3L
chr8	101231738	101232089	12983954	12983959	Colon-Ep	chr8:101231738-101232089	5CpGs	351bp	0.0449	0.882	0.838	0.619	0.421	2.23e-72	U	intron	SPAG1
chr1	168057606	168058114	1558344	1558357	Colon-Ep	chr1:168057606-168058114	13CpGs	508bp	0.117	0.925	0.808	0.577	0.419	3.63e-101	U	intron	GPR161
chr12	92716429	92716535	18042576	18042587	Colon-Ep	chr12:92716429-92716535	11CpGs	106bp	0.0357	0.938	0.902	0.763	0.418	8.58e-106	U	Intergenic	CLLU1
chr10	6295071	6295248	14721298	14721304	Colon-Ep	chr10:6295071-6295248	6CpGs	177bp	0.051	0.925	0.874	0.624	0.418	1.33e-86	U	Intergenic	LOC399715
chr11	14564373	14564657	16172663	16172673	Colon-Ep	chr11:14564373-14564657	10CpGs	284bp	0.115	0.947	0.832	0.694	0.417	8.81e-127	U	intron	PSMA1
chr15	23037878	23037984	20242801	20242809	Colon-Ep	chr15:23037878-23037984	8CpGs	106bp	0.0277	0.94	0.912	0.797	0.413	1.42e-111	U	Intergenic	NIPA2
chr1	47907972	47908445	738721	738726	Colon-Ep	chr1:47907972-47908445	5CpGs	473bp	0.0361	0.897	0.861	0.571	0.413	3.96e-71	U	Intergenic	FOXD2
chr4	20637093	20637295	6339889	6339897	Colon-Ep	chr4:20637093-20637295	8CpGs	202bp	0.102	0.905	0.803	0.637	0.412	5.53e-92	U	Intergenic	PACRGL
chr5	126016588	126016863	8496085	8496097	Colon-Ep	chr5:126016588-126016863	12CpGs	275bp	0.054	0.893	0.839	0.592	0.409	1.12e-79	U	Intergenic	C5orf48
chr6	136732772	136733065	10173474	10173484	Colon-Ep	chr6:136732772-136733065	10CpGs	293bp	0.237	0.947	0.71	0.508	0.406	1.14e-102	U	intron	MAP7
chr7	65937750	65937991	11179746	11179758	Colon-Ep	chr7:65937750-65937991	12CpGs	241bp	0.168	0.955	0.787	0.654	0.406	9.31e-129	U	Intergenic	LINC00174
chr14	74114572	74114806	19818925	19818932	Colon-Ep	chr14:74114572-74114806	7CpGs	234bp	0.0503	0.879	0.829	0.548	0.405	2.09e-64	U	intron	DNAL1
chr15	102284616	102284756	21085457	21085466	Colon-Ep	chr15:102284616-102284756	9CpGs	140bp	0.0342	0.904	0.869	0.6	0.402	1.1e-73	U	Intergenic	TARSL2
chr6	149588877	149589069	10273480	10273487	Colon-Ep	chr6:149588877-149589069	7CpGs	192bp	0.0191	0.875	0.856	0.604	0.395	8.52e-57	U	Intergenic	TAB2
chr8	70448201	70448396	12764617	12764623	Colon-Ep	chr8:70448201-70448396	6CpGs	195bp	0.0685	0.906	0.838	0.537	0.394	3.04e-63	U	intron	SULF1
chr2	7426795	7427018	2374855	2374861	Colon-Ep	chr2:7426795-7427018	6CpGs	223bp	0.0388	0.898	0.859	0.499	0.391	3.94e-57	U	Intergenic	LOC100506274
chr1	48167839	48168244	741602	741609	Colon-Ep	chr1:48167839-48168244	7CpGs	405bp	0.0323	0.898	0.866	0.672	0.391	7.66e-80	U	Intergenic	FOXD2
chr11	75426537	75427290	16760228	16760236	Colon-Ep	chr11:75426537-75427290	8CpGs	753bp	0.0541	0.911	0.857	0.612	0.391	8.28e-79	U	Intergenic	MOGAT2
chr17	1791338	1791552	22230319	22230325	Colon-Ep	chr17:1791338-1791552	6CpGs	214bp	0.192	0.923	0.731	0.505	0.388	1.78e-106	U	intron	RPA1
chr20	13203947	13204216	25202208	25202213	Colon-Ep	chr20:13203947-13204216	5CpGs	269bp	0.135	0.939	0.804	0.585	0.386	2.01e-96	U	intron	ISM1
chr5	17324319	17324573	7748930	7748935	Colon-Ep	chr5:17324319-17324573	5CpGs	254bp	0.0632	0.872	0.809	0.593	0.384	1.8e-63	U	Intergenic	LOC401177
chr5	122775461	122775972	8473999	8474007	Colon-Ep	chr5:122775461-122775972	8CpGs	511bp	0.109	0.913	0.804	0.545	0.383	5.92e-67	U	Intergenic	CEP120
chr3	122070197	122070471	5413937	5413951	Colon-Ep	chr3:122070197-122070471	14CpGs	274bp	0.197	0.926	0.729	0.606	0.379	5.12e-107	U	Intergenic	CSTA
chr16	70270092	70270772	21875880	21875888	Colon-Ep	chr16:70270092-70270772	8CpGs	680bp	0.0468	0.92	0.873	0.588	0.378	8.08e-76	U	Intergenic	LOC100506060
chr2	200340026	200340692	3993717	3993723	Colon-Ep	chr2:200340026-200340692	6CpGs	666bp	0.0575	0.858	0.801	0.561	0.378	9.72e-69	U	Intergenic	SATB2
chr19	34791276	34792398	24625377	24625400	Colon-Ep	chr19:34791276-34792398	23CpGs	1122bp	0.0823	0.926	0.844	0.703	0.377	6.6e-109	U	intron	KIAA0355
chr5	60676374	60677134	8035730	8035746	Colon-Ep	chr5:60676374-60677134	16CpGs	760bp	0.21	0.946	0.736	0.514	0.371	2.73e-109	U	intron	ZSWIM6
chr12	132423840	132424024	18516593	18516598	Colon-Ep	chr12:132423840-132424024	5CpGs	184bp	0.0253	0.869	0.844	0.477	0.371	3.32e-52	U	intron	PUS1
chr10	86176410	86176816	15437834	15437849	Colon-Ep	chr10:86176410-86176816	15CpGs	406bp	0.055	0.941	0.886	0.669	0.371	3.48e-88	U	intron	CCSER2
chr4	114581784	114581990	6975497	6975502	Colon-Ep	chr4:114581784-114581990	5CpGs	206bp	0.056	0.946	0.89	0.652	0.368	2.21e-90	U	intron	CAMK2D
chr6	153448780	153449113	10316042	10316048	Colon-Ep	chr6:153448780-153449113	6CpGs	333bp	0.0834	0.852	0.769	0.473	0.365	1.2e-49	U	intron	RGS17
chr1	47906850	47907734	738713	738719	Colon-Ep	chr1:47906850-47907734	6CpGs	884bp	0.025	0.903	0.878	0.646	0.365	1.52e-74	U	TTS	FOXD2
chr8	27543560	27544127	12419903	12419909	Colon-Ep	chr8:27543560-27544127	6CpGs	567bp	0.0909	0.881	0.79	0.526	0.364	3.14e-56	U	Intergenic	MIR3622A
chr2	240940330	240940570	4401787	4401793	Colon-Ep	chr2:240940330-240940570	6CpGs	240bp	0.0419	0.864	0.822	0.444	0.363	6.02e-55	U	intron	NDUFA10
chr7	2102632	2102952	10592522	10592534	Colon-Ep	chr7:2102632-2102952	12CpGs	320bp	0.261	0.938	0.677	0.51	0.363	8.08e-91	U	intron	MAD1L1
chr1	230738669	230739545	2090235	2090248	Colon-Ep	chr1:230738669-230739545	13CpGs	876bp	0.0629	0.851	0.788	0.488	0.362	5.57e-50	U	Intergenic	COG2
chr3	32785074	32785396	4726342	4726348	Colon-Ep	chr3:32785074-32785396	6CpGs	322bp	0.0936	0.933	0.839	0.659	0.362	5.87e-95	U	intron	CNOT10
chr1	9109007	9109633	187938	187952	Colon-Ep	chr1:9109007-9109633	14CpGs	626bp	0.0537	0.916	0.862	0.614	0.358	4.24e-79	U	intron	SLC2A5
chr3	133337269	133338212	5534700	5534705	Colon-Ep	chr3:133337269-133338212	5CpGs	943bp	0.244	0.944	0.7	0.573	0.355	2.05e-106	U	intron	TOPBP1
chr2	1644300	1644764	2309686	2309698	Colon-Ep	chr2:1644300-1644764	12CpGs	464bp	0.0893	0.872	0.782	0.515	0.352	1.62e-54	U	intron	PXDN
chr17	27056518	27056950	22560263	22560283	Colon-Ep	chr17:27056518-27056950	20CpGs	432bp	0.128	0.932	0.805	0.673	0.351	4.03e-117	U	intron	NEK8
chr15	75221017	75221876	20782435	20782446	Colon-Ep	chr15:75221017-75221876	11CpGs	859bp	0.0747	0.928	0.854	0.555	0.35	5.9e-75	U	exon,intron	COX5A
chr10	111946106	111946207	15681485	15681491	Colon-Ep	chr10:111946106-111946207	6CpGs	101bp	0.0294	0.879	0.85	0.665	0.35	6.22e-78	U	Intergenic	MXI1
chr12	89772149	89772392	18024773	18024780	Colon-Ep	chr12:89772149-89772392	7CpGs	243bp	0.0972	0.94	0.843	0.682	0.35	3.69e-92	U	Intergenic	DUSP6
chr6	79663545	79663874	9776460	9776466	Colon-Ep	chr6:79663545-79663874	6CpGs	329bp	0.238	0.962	0.724	0.479	0.349	6.84e-107	U	intron	PHIP
chr9	132821564	132821690	14441247	14441253	Colon-Ep	chr9:132821564-132821690	6CpGs	126bp	0.169	0.966	0.797	0.635	0.349	1.04e-126	U	intron	GPR107
chr4	187629328	187629491	7505580	7505593	Colon-Ep	chr4:187629328-187629491	13CpGs	163bp	0.0154	0.937	0.922	0.767	0.349	1.38e-98	U	exon	FAT1
chr17	77006672	77006816	23225703	23225708	Colon-Ep	chr17:77006672-77006816	5CpGs	144bp	0.0851	0.91	0.825	0.67	0.349	1.05e-84	U	Intergenic,promoter-TSS	CANT1
chr2	62231504	62232023	2886632	2886641	Colon-Ep	chr2:62231504-62232023	9CpGs	519bp	0.0598	0.882	0.822	0.447	0.346	1.33e-44	U	intron	COMMD1
chr15	102283250	102283505	21085444	21085452	Colon-Ep	chr15:102283250-102283505	8CpGs	255bp	0.0252	0.888	0.863	0.673	0.346	9.52e-81	U	Intergenic	TARSL2
chr16	14970553	14970957	21356186	21356193	Colon-Ep	chr16:14970553-14970957	7CpGs	404bp	0.051	0.907	0.856	0.659	0.344	3.75e-79	U	exon,intron	NOMO1
chr21	39491396	39491798	26022249	26022259	Colon-Ep	chr21:39491396-39491798	10CpGs	402bp	0.0892	0.92	0.831	0.605	0.342	1e-90	U	intron	DSCR4
chr9	136107769	136107875	14500535	14500545	Colon-Ep	chr9:136107769-136107875	10CpGs	106bp	0.0422	0.896	0.853	0.655	0.341	6.81e-80	U	Intergenic	OBP2B
chr2	101641230	101641660	3215664	3215671	Colon-Ep	chr2:101641230-101641660	7CpGs	430bp	0.137	0.897	0.759	0.522	0.341	1.16e-68	U	intron	TBC1D8
chr3	146217938	146218561	5637408	5637418	Colon-Ep	chr3:146217938-146218561	10CpGs	623bp	0.181	0.954	0.773	0.565	0.34	7.55e-99	U	Intergenic	PLSCR2
chr7	2086509	2086645	10592001	10592009	Colon-Ep	chr7:2086509-2086645	8CpGs	136bp	0.26	0.963	0.703	0.57	0.34	1.35e-125	U	intron	MAD1L1
chr2	204437085	204437260	4035069	4035075	Colon-Ep	chr2:204437085-204437260	6CpGs	175bp	0.125	0.93	0.805	0.501	0.339	4.17e-78	U	Intergenic	RAPH1
chr7	2086704	2086897	10592010	10592016	Colon-Ep	chr7:2086704-2086897	6CpGs	193bp	0.124	0.94	0.816	0.614	0.339	1.11e-94	U	intron	MAD1L1
chr3	157866761	157866908	5720567	5720572	Colon-Ep	chr3:157866761-157866908	5CpGs	147bp	0.0899	0.953	0.863	0.686	0.338	2.03e-106	U	intron	RSRC1
chr5	79448501	79449206	8193743	8193758	Colon-Ep	chr5:79448501-79449206	15CpGs	705bp	0.13	0.905	0.775	0.49	0.338	1.65e-62	U	intron	SERINC5
chr7	100614232	100614310	11520789	11520795	Colon-Ep	chr7:100614232-100614310	6CpGs	78bp	0.0149	0.744	0.729	0.459	0.336	1.4e-41	U	intron	MUC12
chr3	195990693	195990795	6041497	6041503	Colon-Ep	chr3:195990693-195990795	6CpGs	102bp	0.0618	0.951	0.89	0.786	0.334	3.46e-102	U	intron	PCYT1A
chr3	72618758	72619029	5109041	5109049	Colon-Ep	chr3:72618758-72619029	8CpGs	271bp	0.0998	0.946	0.846	0.618	0.333	2.4e-85	U	Intergenic	RYBP
chr22	44430886	44431227	26610474	26610479	Colon-Ep	chr22:44430886-44431227	5CpGs	341bp	0.0534	0.873	0.819	0.536	0.332	2.35e-61	U	intron	PARVB
chr12	107231639	107232210	18167908	18167914	Colon-Ep	chr12:107231639-107232210	6CpGs	571bp	0.152	0.945	0.793	0.63	0.332	6.13e-97	U	intron	RIC8B
chr1	224986378	224986519	2014987	2014997	Colon-Ep	chr1:224986378-224986519	10CpGs	141bp	0.218	0.919	0.7	0.514	0.331	5.65e-84	U	Intergenic	DNAH14
chr4	102044682	102044804	6889696	6889701	Colon-Ep	chr4:102044682-102044804	5CpGs	122bp	0.0325	0.894	0.861	0.575	0.331	1.23e-61	U	intron	PPP3CA
chr11	6541499	6542173	16097794	16097800	Colon-Ep	chr11:6541499-6542173	6CpGs	674bp	0.162	0.862	0.701	0.511	0.33	3.52e-73	U	exon	DNHD1
chr7	97904665	97904988	11473194	11473203	Colon-Ep	chr7:97904665-97904988	9CpGs	323bp	0.322	0.924	0.602	0.372	0.33	7.54e-73	U	Intergenic	BRI3
