#chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction
chr1	207425004	207425115	1958516	1958521	Blood-B	chr1:207425004-207425115	5CpGs	111bp	0.0536	0.796	0.742	0.456	0.353	1.94e-40	U
chr8	115625281	115625502	13466952	13466957	Blood-B	chr8:115625281-115625502	5CpGs	221bp	0.179	0.92	0.742	0.425	0.352	2.67e-57	U
chr10	131766224	131766329	16371515	16371526	Blood-B	chr10:131766224-131766329	11CpGs	105bp	0.165	0.899	0.733	0.468	0.351	1.48e-56	U
chr6	43384369	43384532	9812599	9812607	Blood-B	chr6:43384369-43384532	8CpGs	163bp	0.105	0.895	0.789	0.49	0.351	1e-64	U
chr1	25585268	25585527	448687	448697	Blood-B	chr1:25585268-25585527	10CpGs	259bp	0.133	0.904	0.772	0.511	0.35	4.07e-70	U
chr22	33568541	33568918	27535690	27535700	Blood-B	chr22:33568541-33568918	10CpGs	377bp	0.116	0.91	0.794	0.559	0.35	2.36e-60	U
chr11	76674599	76674818	17258177	17258182	Blood-B	chr11:76674599-76674818	5CpGs	219bp	0.123	0.895	0.772	0.522	0.35	2.29e-56	U
chr20	64071376	64071467	26750445	26750451	Blood-B	chr20:64071376-64071467	6CpGs	91bp	0.0814	0.831	0.749	0.526	0.349	2.16e-53	U
chr17	81452640	81452891	24066136	24066155	Blood-B	chr17:81452640-81452891	19CpGs	251bp	0.214	0.919	0.705	0.501	0.349	1.18e-77	U
chr8	102534741	102535138	13385323	13385333	Blood-B	chr8:102534741-102535138	10CpGs	397bp	0.101	0.945	0.845	0.62	0.349	1.53e-83	U
chr12	51357306	51357402	18255937	18255943	Blood-B	chr12:51357306-51357402	6CpGs	96bp	0.108	0.935	0.828	0.608	0.349	2.98e-77	U
chr2	25419709	25419962	2645959	2645965	Blood-B	chr2:25419709-25419962	6CpGs	253bp	0.0356	0.876	0.841	0.427	0.348	1.42e-32	U
chr1	27002651	27002732	472463	472470	Blood-B	chr1:27002651-27002732	7CpGs	81bp	0.272	0.918	0.646	0.466	0.347	9.75e-74	U
chr15	90595310	90595400	21594332	21594337	Blood-B	chr15:90595310-90595400	5CpGs	90bp	0.126	0.923	0.797	0.562	0.346	1.68e-73	U
chr2	126904819	126905239	3573706	3573717	Blood-B	chr2:126904819-126905239	11CpGs	420bp	0.188	0.895	0.706	0.463	0.346	1.08e-56	U
chr19	44792292	44792615	25705380	25705388	Blood-B	chr19:44792292-44792615	8CpGs	323bp	0.113	0.868	0.755	0.546	0.346	3.33e-52	U
chr12	112014954	112015238	18760229	18760240	Blood-B	chr12:112014954-112015238	11CpGs	284bp	0.0992	0.925	0.826	0.568	0.346	8.15e-73	U
chr14	96487026	96487469	20641889	20641901	Blood-B	chr14:96487026-96487469	12CpGs	443bp	0.204	0.888	0.685	0.447	0.345	4.67e-53	U
chr16	88069425	88069531	22808636	22808644	Blood-B	chr16:88069425-88069531	8CpGs	106bp	0.037	0.86	0.823	0.488	0.345	4.22e-36	U
chr17	18899646	18900165	23177859	23177870	Blood-B	chr17:18899646-18900165	11CpGs	519bp	0.3	0.945	0.646	0.458	0.345	1.31e-92	U
chr19	34201368	34201621	25530211	25530220	Blood-B	chr19:34201368-34201621	9CpGs	253bp	0.202	0.942	0.74	0.571	0.344	2.57e-89	U
chr21	36255012	36255858	27041348	27041365	Blood-B	chr21:36255012-36255858	17CpGs	846bp	0.0944	0.909	0.814	0.581	0.343	4.96e-81	U
chr7	541070	541257	10837745	10837753	Blood-B	chr7:541070-541257	8CpGs	187bp	0.111	0.884	0.773	0.454	0.343	1.7e-35	U
chr22	23800479	23801122	27404466	27404481	Blood-B	chr22:23800479-23801122	15CpGs	643bp	0.11	0.933	0.823	0.71	0.342	9.96e-98	U
chr1	53318173	53318488	792321	792327	Blood-B	chr1:53318173-53318488	6CpGs	315bp	0.256	0.917	0.661	0.494	0.342	3.98e-72	U
chr22	17215956	17216142	27291054	27291063	Blood-B	chr22:17215956-17216142	9CpGs	186bp	0.252	0.932	0.68	0.408	0.342	4.67e-61	U
chr2	112087432	112087899	3445390	3445398	Blood-B	chr2:112087432-112087899	8CpGs	467bp	0.13	0.894	0.764	0.542	0.341	4.96e-67	U
chr3	15384695	15385523	4722204	4722213	Blood-B	chr3:15384695-15385523	9CpGs	828bp	0.116	0.909	0.793	0.513	0.341	7.39e-63	U
chr20	62338048	62338165	26695517	26695525	Blood-B	chr20:62338048-62338165	8CpGs	117bp	0.23	0.929	0.7	0.522	0.341	2.52e-79	U
chr6	41974506	41974816	9791236	9791241	Blood-B	chr6:41974506-41974816	5CpGs	310bp	0.16	0.898	0.738	0.482	0.34	4.12e-48	U
chr17	75664110	75665010	23932257	23932270	Blood-B	chr17:75664110-75665010	13CpGs	900bp	0.138	0.907	0.768	0.552	0.34	9.39e-85	U
chr12	132070902	132071593	19044685	19044696	Blood-B	chr12:132070902-132071593	11CpGs	691bp	0.18	0.909	0.729	0.437	0.34	2.05e-59	U
chr1	15563609	15564296	293158	293174	Blood-B	chr1:15563609-15564296	16CpGs	687bp	0.331	0.932	0.601	0.476	0.34	6.9e-95	U
chr5	139389275	139389405	8872667	8872675	Blood-B	chr5:139389275-139389405	8CpGs	130bp	0.113	0.898	0.786	0.611	0.339	2.51e-64	U
chr19	18108028	18108208	25310674	25310679	Blood-B	chr19:18108028-18108208	5CpGs	180bp	0.128	0.901	0.773	0.51	0.339	8.13e-53	U
chr2	233125009	233125120	4417847	4417852	Blood-B	chr2:233125009-233125120	5CpGs	111bp	0.0323	0.89	0.858	0.585	0.338	3.82e-53	U
chr1	245699091	245699271	2338915	2338923	Blood-B	chr1:245699091-245699271	8CpGs	180bp	0.0585	0.846	0.788	0.479	0.337	5.18e-31	U
chr19	48909466	48909762	25797432	25797442	Blood-B	chr19:48909466-48909762	10CpGs	296bp	0.156	0.926	0.77	0.561	0.337	7e-74	U
chr19	14584178	14584384	25242490	25242500	Blood-B	chr19:14584178-14584384	10CpGs	206bp	0.136	0.876	0.741	0.482	0.336	1.29e-59	U
chr9	137758923	137759440	15028710	15028728	Blood-B	chr9:137758923-137759440	18CpGs	517bp	0.207	0.948	0.741	0.602	0.336	4.7e-104	U
chr10	62653447	62653578	15667638	15667643	Blood-B	chr10:62653447-62653578	5CpGs	131bp	0.0411	0.892	0.851	0.457	0.335	5.6e-41	U
chr3	112114429	112115106	5511179	5511191	Blood-B	chr3:112114429-112115106	12CpGs	677bp	0.249	0.923	0.674	0.42	0.335	6.16e-59	U
chr12	57500277	57500514	18338599	18338608	Blood-Granul	chr12:57500277-57500514	9CpGs	237bp	0.0764	0.943	0.867	0.778	0.706	1.18e-132	U
chr7	157137840	157137887	12398289	12398297	Blood-Granul	chr7:157137840-157137887	8CpGs	47bp	0.0671	0.94	0.873	0.78	0.705	5.92e-115	U
chr2	149568566	149568764	3759353	3759358	Blood-Granul	chr2:149568566-149568764	5CpGs	198bp	0.0379	0.941	0.903	0.788	0.705	5.95e-101	U
chr2	30444029	30444172	2707313	2707318	Blood-Granul	chr2:30444029-30444172	5CpGs	143bp	0.0506	0.906	0.856	0.705	0.658	2.76e-69	U
chr19	19184591	19184761	25338352	25338357	Blood-Granul	chr19:19184591-19184761	5CpGs	170bp	0.0868	0.918	0.831	0.728	0.657	4.97e-93	U
chr2	44163410	44163562	2830809	2830817	Blood-Granul	chr2:44163410-44163562	8CpGs	152bp	0.0833	0.943	0.86	0.793	0.651	6.82e-113	U
chr3	128991686	128991794	5661311	5661318	Blood-Granul	chr3:128991686-128991794	7CpGs	108bp	0.0899	0.939	0.85	0.714	0.65	6.15e-96	U
chr2	30712695	30712859	2709424	2709429	Blood-Granul	chr2:30712695-30712859	5CpGs	164bp	0.0318	0.922	0.89	0.76	0.647	9.21e-78	U
chr2	237989693	237990093	4484102	4484111	Blood-Granul	chr2:237989693-237990093	9CpGs	400bp	0.0566	0.932	0.875	0.735	0.644	5.4e-78	U
chr15	59121792	59122053	21239393	21239399	Blood-Granul	chr15:59121792-59122053	6CpGs	261bp	0.104	0.922	0.818	0.687	0.642	5.2e-88	U
chr12	132665920	132666186	19064784	19064790	Blood-Granul	chr12:132665920-132666186	6CpGs	266bp	0.105	0.933	0.828	0.727	0.636	3.88e-97	U
chr3	150568292	150568650	5834396	5834401	Blood-Granul	chr3:150568292-150568650	5CpGs	358bp	0.0499	0.925	0.875	0.758	0.63	2.75e-90	U
chr19	40733011	40733210	25648104	25648109	Blood-Granul	chr19:40733011-40733210	5CpGs	199bp	0.0337	0.89	0.856	0.697	0.626	1.97e-66	U
chr2	8895779	8896194	2482311	2482326	Blood-Granul	chr2:8895779-8896194	15CpGs	415bp	0.166	0.947	0.781	0.665	0.619	7.49e-97	U
chr6	2801060	2801177	9347202	9347207	Blood-Granul	chr6:2801060-2801177	5CpGs	117bp	0.0638	0.931	0.867	0.734	0.616	8.75e-88	U
chr12	76541049	76541351	18474211	18474217	Blood-Granul	chr12:76541049-76541351	6CpGs	302bp	0.119	0.924	0.805	0.652	0.616	2.79e-83	U
chr20	49654325	49654694	26522226	26522234	Blood-Granul	chr20:49654325-49654694	8CpGs	369bp	0.0399	0.927	0.887	0.677	0.615	6.05e-67	U
chr20	63906214	63906581	26745088	26745100	Blood-Granul	chr20:63906214-63906581	12CpGs	367bp	0.0899	0.94	0.85	0.737	0.611	5.52e-97	U
chr1	148405394	148405820	1436512	1436519	Blood-Granul	chr1:148405394-148405820	7CpGs	426bp	0.0868	0.933	0.846	0.734	0.599	3.23e-82	U
chr13	113609055	113609207	19901094	19901103	Blood-Granul	chr13:113609055-113609207	9CpGs	152bp	0.147	0.941	0.795	0.691	0.598	1.95e-113	U
chr7	128678601	128679318	12081095	12081105	Blood-Granul	chr7:128678601-128679318	10CpGs	717bp	0.065	0.934	0.869	0.795	0.596	5.15e-96	U
chr9	128143077	128143267	14802869	14802877	Blood-Granul	chr9:128143077-128143267	8CpGs	190bp	0.178	0.932	0.754	0.65	0.595	6.21e-94	U
chr9	81639317	81639676	14335537	14335544	Blood-Granul	chr9:81639317-81639676	7CpGs	359bp	0.0824	0.923	0.841	0.685	0.594	1.1e-68	U
chr11	113770908	113771121	17521893	17521901	Blood-Granul	chr11:113770908-113771121	8CpGs	213bp	0.153	0.936	0.784	0.676	0.592	1.7e-93	U
chr6	52334637	52334754	9880204	9880209	Blood-Granul	chr6:52334637-52334754	5CpGs	117bp	0.11	0.938	0.829	0.701	0.587	4.62e-86	U
chr1	212893204	212893606	2008857	2008865	Blood-Granul	chr1:212893204-212893606	8CpGs	402bp	0.112	0.943	0.832	0.682	0.586	4.41e-82	U
chr21	44915448	44915517	27177066	27177073	Blood-Granul	chr21:44915448-44915517	7CpGs	69bp	0.0278	0.887	0.859	0.657	0.586	1.77e-45	U
chr16	3613806	3613899	21836927	21836934	Blood-Granul	chr16:3613806-3613899	7CpGs	93bp	0.143	0.952	0.809	0.707	0.585	1.2e-96	U
chr16	89298685	89298900	22847852	22847858	Blood-Granul	chr16:89298685-89298900	6CpGs	215bp	0.0335	0.897	0.863	0.665	0.585	1.74e-62	U
chr11	76096911	76097521	17250562	17250572	Blood-Granul	chr11:76096911-76097521	10CpGs	610bp	0.125	0.929	0.804	0.674	0.582	6.49e-82	U
chr1	173885684	173886549	1687910	1687928	Blood-Granul	chr1:173885684-173886549	18CpGs	865bp	0.197	0.949	0.752	0.684	0.582	1.2e-113	U
chr7	100431198	100431352	11853919	11853926	Blood-Granul	chr7:100431198-100431352	7CpGs	154bp	0.0331	0.9	0.867	0.646	0.581	1.31e-55	U
chr10	6332548	6332643	15128624	15128629	Blood-Granul	chr10:6332548-6332643	5CpGs	95bp	0.0741	0.934	0.86	0.708	0.58	1.85e-75	U
chr20	34609425	34609835	26339120	26339128	Blood-Granul	chr20:34609425-34609835	8CpGs	410bp	0.14	0.941	0.8	0.681	0.577	2.39e-86	U
chr3	38280706	38280930	4888589	4888597	Blood-Granul	chr3:38280706-38280930	8CpGs	224bp	0.118	0.932	0.814	0.667	0.576	5.87e-83	U
chr3	47080839	47081396	4971287	4971299	Blood-Granul	chr3:47080839-47081396	12CpGs	557bp	0.183	0.94	0.757	0.622	0.575	3.12e-86	U
chr12	32587637	32588651	18076878	18076885	Blood-Granul	chr12:32587637-32588651	7CpGs	1014bp	0.0439	0.909	0.865	0.647	0.573	1.78e-54	U
chr12	132681187	132681270	19065133	19065140	Blood-Granul	chr12:132681187-132681270	7CpGs	83bp	0.221	0.955	0.734	0.637	0.57	2.39e-118	U
chr14	89974529	89974716	20560438	20560443	Blood-Granul	chr14:89974529-89974716	5CpGs	187bp	0.0256	0.904	0.878	0.689	0.569	2.98e-61	U
chr7	8007319	8007423	10994429	10994437	Blood-Granul	chr7:8007319-8007423	8CpGs	104bp	0.24	0.951	0.711	0.633	0.569	3.05e-116	U
chr12	123204216	123204298	18913151	18913158	Blood-Granul	chr12:123204216-123204298	7CpGs	82bp	0.158	0.946	0.788	0.661	0.567	3.2e-82	U
chr5	1475139	1475232	7783759	7783764	Blood-Granul	chr5:1475139-1475232	5CpGs	93bp	0.0571	0.942	0.885	0.686	0.564	1.4e-75	U
chr16	67721352	67721481	22522125	22522131	Blood-Granul	chr16:67721352-67721481	6CpGs	129bp	0.0417	0.854	0.812	0.646	0.564	8.03e-55	U
chr10	45450827	45450975	15540975	15540980	Blood-Granul	chr10:45450827-45450975	5CpGs	148bp	0.0489	0.936	0.887	0.726	0.563	1.52e-71	U
chr7	105633960	105634246	11928061	11928068	Blood-Granul	chr7:105633960-105634246	7CpGs	286bp	0.09	0.91	0.82	0.639	0.559	2.33e-59	U
chr16	4628630	4628872	21858989	21858995	Blood-Granul	chr16:4628630-4628872	6CpGs	242bp	0.213	0.947	0.734	0.611	0.559	7.46e-98	U
chr5	69318021	69318518	8350789	8350802	Blood-Granul	chr5:69318021-69318518	13CpGs	497bp	0.116	0.929	0.814	0.64	0.558	4.14e-75	U
chr17	2300059	2300276	22926903	22926909	Blood-Granul	chr17:2300059-2300276	6CpGs	217bp	0.0538	0.907	0.853	0.732	0.556	6.25e-76	U
chr2	168498848	168499614	3887134	3887142	Blood-Granul	chr2:168498848-168499614	8CpGs	766bp	0.121	0.917	0.797	0.628	0.555	2.18e-62	U
chr14	89971615	89972179	20560413	20560419	Blood-Granul	chr14:89971615-89972179	6CpGs	564bp	0.103	0.914	0.811	0.7	0.555	4.54e-82	U
chr2	8786232	8786702	2481180	2481186	Blood-Granul	chr2:8786232-8786702	6CpGs	470bp	0.0218	0.911	0.889	0.686	0.553	1.72e-56	U
chr1	109169459	109169541	1194331	1194336	Blood-Granul	chr1:109169459-109169541	5CpGs	82bp	0.0707	0.908	0.837	0.634	0.553	2.84e-51	U
chr20	37037698	37037832	26375581	26375586	Blood-Granul	chr20:37037698-37037832	5CpGs	134bp	0.177	0.941	0.764	0.658	0.551	7.93e-93	U
chr16	88839896	88840367	22832506	22832520	Blood-Granul	chr16:88839896-88840367	14CpGs	471bp	0.0579	0.922	0.864	0.682	0.548	2.91e-71	U
chrX	44920906	44921157	28263682	28263691	Blood-Granul	chrX:44920906-44921157	9CpGs	251bp	0.0402	0.942	0.902	0.718	0.547	3.4e-71	U
chr14	75463400	75463507	20443304	20443310	Blood-Granul	chr14:75463400-75463507	6CpGs	107bp	0.0244	0.885	0.861	0.657	0.547	1.66e-48	U
chr16	46627410	46627532	22315762	22315767	Blood-Granul	chr16:46627410-46627532	5CpGs	122bp	0.0683	0.902	0.834	0.675	0.544	3.18e-65	U
chr8	129988105	129988317	13581721	13581737	Blood-Granul	chr8:129988105-129988317	16CpGs	212bp	0.045	0.921	0.876	0.721	0.543	2.55e-64	U
chr1	3647132	3647310	99036	99043	Blood-Granul	chr1:3647132-3647310	7CpGs	178bp	0.122	0.876	0.754	0.602	0.542	6.1e-56	U
chr7	105442307	105442489	11925192	11925199	Blood-Granul	chr7:105442307-105442489	7CpGs	182bp	0.122	0.934	0.812	0.631	0.54	2.05e-65	U
chr18	62940803	62941442	24697093	24697098	Blood-Granul	chr18:62940803-62941442	5CpGs	639bp	0.0607	0.877	0.816	0.586	0.539	3.96e-45	U
chr17	4150184	4150448	22962551	22962556	Blood-Granul	chr17:4150184-4150448	5CpGs	264bp	0.062	0.903	0.841	0.641	0.537	2.99e-57	U
chr17	4177618	4177853	22963132	22963140	Blood-Granul	chr17:4177618-4177853	8CpGs	235bp	0.182	0.923	0.74	0.633	0.534	8.06e-81	U
chr1	21459636	21459830	384404	384409	Blood-Granul	chr1:21459636-21459830	5CpGs	194bp	0.126	0.948	0.822	0.649	0.533	1.21e-83	U
chr20	57359083	57359665	26616242	26616250	Blood-Granul	chr20:57359083-57359665	8CpGs	582bp	0.135	0.902	0.767	0.615	0.532	5.69e-69	U
chr20	57403183	57403370	26617336	26617341	Blood-Granul	chr20:57403183-57403370	5CpGs	187bp	0.0498	0.917	0.867	0.656	0.532	2.87e-56	U
chr18	9704838	9705009	24213655	24213661	Blood-Granul	chr18:9704838-9705009	6CpGs	171bp	0.0284	0.868	0.84	0.649	0.531	1.37e-49	U
chr3	5090103	5090192	4607185	4607190	Blood-Granul	chr3:5090103-5090192	5CpGs	89bp	0.0413	0.883	0.842	0.648	0.529	1.44e-53	U
chr12	6596656	6596833	17852086	17852096	Blood-Granul	chr12:6596656-6596833	10CpGs	177bp	0.197	0.918	0.722	0.618	0.528	9.08e-83	U
chr3	38291205	38291582	4888706	4888714	Blood-Granul	chr3:38291205-38291582	8CpGs	377bp	0.076	0.92	0.844	0.692	0.527	5.24e-76	U
chr20	3829060	3829245	26032373	26032379	Blood-Granul	chr20:3829060-3829245	6CpGs	185bp	0.134	0.903	0.769	0.649	0.526	1.2e-71	U
chr19	1423536	1423831	24926761	24926779	Blood-Granul	chr19:1423536-1423831	18CpGs	295bp	0.161	0.927	0.767	0.659	0.524	5.98e-91	U
chr14	102210572	102210833	20720747	20720762	Blood-Granul	chr14:102210572-102210833	15CpGs	261bp	0.0363	0.923	0.886	0.686	0.523	3.8e-66	U
chr15	98531044	98531169	21673604	21673609	Blood-Granul	chr15:98531044-98531169	5CpGs	125bp	0.0745	0.902	0.828	0.64	0.523	1.02e-57	U
chr5	146181079	146181246	8942948	8942957	Blood-Granul	chr5:146181079-146181246	9CpGs	167bp	0.17	0.944	0.775	0.678	0.519	5.29e-93	U
chr7	149173013	149173621	12280079	12280096	Blood-Granul	chr7:149173013-149173621	17CpGs	608bp	0.229	0.945	0.716	0.634	0.519	3.6e-101	U
chr18	76507944	76508031	24807574	24807581	Blood-Granul	chr18:76507944-76508031	7CpGs	87bp	0.0549	0.908	0.853	0.679	0.516	4.39e-65	U
chr2	97812896	97813219	3299269	3299276	Blood-Granul	chr2:97812896-97813219	7CpGs	323bp	0.0372	0.908	0.871	0.716	0.514	5.76e-58	U
chr3	11271122	11271290	4667104	4667110	Blood-Granul	chr3:11271122-11271290	6CpGs	168bp	0.0893	0.871	0.781	0.61	0.514	4.73e-54	U
chr12	98626949	98627221	18624431	18624440	Blood-Granul	chr12:98626949-98627221	9CpGs	272bp	0.181	0.932	0.751	0.659	0.514	1.02e-88	U
chr2	233257861	233258107	4419913	4419921	Blood-Granul	chr2:233257861-233258107	8CpGs	246bp	0.301	0.95	0.648	0.575	0.512	2.6e-117	U
chr1	202742452	202742737	1903336	1903343	Blood-Granul	chr1:202742452-202742737	7CpGs	285bp	0.165	0.944	0.778	0.67	0.51	1.19e-93	U
chr6	14827591	14827753	9479412	9479421	Blood-Granul	chr6:14827591-14827753	9CpGs	162bp	0.141	0.929	0.789	0.649	0.507	2.92e-75	U
chr8	6985143	6986229	12541834	12541850	Blood-Granul	chr8:6985143-6986229	16CpGs	1086bp	0.0526	0.831	0.779	0.578	0.507	6.61e-25	U
chr2	32296524	32297286	2724312	2724323	Blood-Granul	chr2:32296524-32297286	11CpGs	762bp	0.247	0.93	0.683	0.568	0.506	7.18e-85	U
chr16	22230918	22231246	22084583	22084589	Blood-Granul	chr16:22230918-22231246	6CpGs	328bp	0.163	0.93	0.767	0.601	0.505	1.88e-62	U
chr11	47712906	47713078	16880529	16880537	Blood-Granul	chr11:47712906-47713078	8CpGs	172bp	0.0752	0.931	0.856	0.689	0.504	3.31e-67	U
chr11	33699294	33699602	16757163	16757170	Blood-Granul	chr11:33699294-33699602	7CpGs	308bp	0.06	0.882	0.822	0.603	0.504	1.32e-45	U
chr7	100148064	100148129	11848766	11848772	Blood-Granul	chr7:100148064-100148129	6CpGs	65bp	0.101	0.912	0.811	0.629	0.503	2.05e-65	U
chr6	1725453	1725537	9335848	9335855	Blood-Granul	chr6:1725453-1725537	7CpGs	84bp	0.196	0.948	0.752	0.656	0.502	1.47e-86	U
chr20	62951535	62951698	26713879	26713884	Blood-Granul	chr20:62951535-62951698	5CpGs	163bp	0.0257	0.898	0.872	0.689	0.499	2.25e-53	U
chr1	154645177	154645656	1512371	1512384	Blood-Granul	chr1:154645177-154645656	13CpGs	479bp	0.0897	0.924	0.835	0.718	0.498	9.58e-72	U
chr10	119042401	119042585	16204681	16204693	Blood-Granul	chr10:119042401-119042585	12CpGs	184bp	0.217	0.925	0.708	0.596	0.496	4.13e-83	U
chr9	136917737	136917978	15000762	15000775	Blood-Granul	chr9:136917737-136917978	13CpGs	241bp	0.102	0.921	0.819	0.65	0.496	2.91e-74	U
chr7	37333793	37334420	11231526	11231535	Blood-Granul	chr7:37333793-37334420	9CpGs	627bp	0.111	0.902	0.791	0.579	0.494	4.69e-43	U
chr12	64702241	64702499	18390639	18390644	Blood-Granul	chr12:64702241-64702499	5CpGs	258bp	0.0548	0.901	0.846	0.696	0.493	1.06e-59	U
chr10	103332943	103333076	16066561	16066566	Blood-Granul	chr10:103332943-103333076	5CpGs	133bp	0.132	0.92	0.788	0.702	0.491	1.16e-77	U
chr1	12034899	12035085	246817	246823	Blood-Granul	chr1:12034899-12035085	6CpGs	186bp	0.148	0.92	0.772	0.639	0.491	2.54e-75	U
chr1	31825143	31825427	541234	541239	Blood-Granul	chr1:31825143-31825427	5CpGs	284bp	0.0633	0.827	0.763	0.541	0.49	1.11e-33	U
chr8	144425926	144426193	13768239	13768249	Blood-Granul	chr8:144425926-144426193	10CpGs	267bp	0.166	0.897	0.731	0.571	0.489	1.62e-52	U
chr12	131873705	131874018	19039780	19039791	Blood-Granul	chr12:131873705-131874018	11CpGs	313bp	0.121	0.901	0.78	0.646	0.489	1.4e-69	U
chr8	26285185	26285447	12754664	12754669	Blood-Granul	chr8:26285185-26285447	5CpGs	262bp	0.0433	0.892	0.849	0.62	0.489	3.76e-46	U
chr8	73958544	73958970	13178967	13178972	Blood-Granul	chr8:73958544-73958970	5CpGs	426bp	0.247	0.92	0.674	0.551	0.487	7.65e-70	U
chr10	69067005	69067186	15718525	15718531	Blood-Granul	chr10:69067005-69067186	6CpGs	181bp	0.138	0.932	0.794	0.588	0.486	9.5e-71	U
chr7	40460880	40461038	11257666	11257671	Blood-Granul	chr7:40460880-40461038	5CpGs	158bp	0.0415	0.886	0.844	0.592	0.486	2.09e-40	U
chr4	145787182	145787236	7381683	7381689	Blood-Granul	chr4:145787182-145787236	6CpGs	54bp	0.114	0.945	0.831	0.629	0.483	8.12e-71	U
chr11	59725538	59726066	16985237	16985248	Blood-Granul	chr11:59725538-59726066	11CpGs	528bp	0.0953	0.874	0.778	0.566	0.482	7.05e-49	U
chr15	68140666	68141305	21341793	21341799	Blood-Granul	chr15:68140666-68141305	6CpGs	639bp	0.0799	0.905	0.825	0.661	0.482	1.27e-53	U
chr19	19181392	19181752	25338266	25338271	Blood-Granul	chr19:19181392-19181752	5CpGs	360bp	0.137	0.911	0.774	0.557	0.481	2.66e-52	U
chr17	34992530	34992913	23402647	23402659	Blood-Granul	chr17:34992530-34992913	12CpGs	383bp	0.0816	0.918	0.836	0.66	0.481	2.41e-63	U
chr16	75598306	75598605	22631191	22631198	Blood-Granul	chr16:75598306-75598605	7CpGs	299bp	0.225	0.934	0.709	0.592	0.481	9.41e-88	U
chr2	64415700	64416046	2996832	2996838	Blood-Granul	chr2:64415700-64416046	6CpGs	346bp	0.0468	0.915	0.868	0.648	0.48	4.02e-47	U
chr11	73842661	73843004	17226344	17226354	Blood-Granul	chr11:73842661-73843004	10CpGs	343bp	0.254	0.932	0.679	0.562	0.477	2.68e-63	U
chr15	69803993	69804261	21360618	21360624	Blood-Granul	chr15:69803993-69804261	6CpGs	268bp	0.105	0.939	0.834	0.634	0.476	1.88e-57	U
chr2	8996530	8996727	2483163	2483170	Blood-Granul	chr2:8996530-8996727	7CpGs	197bp	0.0692	0.923	0.854	0.674	0.475	1.77e-62	U
chr8	66658765	66659258	13120969	13120975	Blood-Granul	chr8:66658765-66659258	6CpGs	493bp	0.0588	0.919	0.86	0.617	0.474	2.32e-51	U
chr7	65749775	65749857	11517828	11517835	Blood-Granul	chr7:65749775-65749857	7CpGs	82bp	0.0458	0.936	0.89	0.735	0.474	2.27e-69	U
chr3	183944971	183945293	6074667	6074673	Blood-Granul	chr3:183944971-183945293	6CpGs	322bp	0.0263	0.889	0.863	0.593	0.474	6.32e-43	U
chr13	20471120	20471179	19136620	19136625	Blood-Granul	chr13:20471120-20471179	5CpGs	59bp	0.115	0.908	0.793	0.539	0.474	2.21e-43	U
chr18	79729211	79729347	24864513	24864520	Blood-Granul	chr18:79729211-79729347	7CpGs	136bp	0.262	0.956	0.694	0.601	0.473	1.78e-107	U
chr11	33977064	33977746	16760248	16760258	Blood-Granul	chr11:33977064-33977746	10CpGs	682bp	0.234	0.915	0.681	0.542	0.473	3.72e-62	U
chr5	79202676	79202766	8442643	8442648	Blood-Granul	chr5:79202676-79202766	5CpGs	90bp	0.134	0.928	0.794	0.602	0.472	3.01e-59	U
chr2	64007712	64008139	2993169	2993174	Blood-Granul	chr2:64007712-64008139	5CpGs	427bp	0.0564	0.926	0.869	0.627	0.471	1.68e-53	U
chr9	127749574	127749661	14794033	14794042	Blood-Granul	chr9:127749574-127749661	9CpGs	87bp	0.229	0.904	0.675	0.54	0.469	2.55e-63	U
chr11	68762419	68762735	17146423	17146436	Blood-Granul	chr11:68762419-68762735	13CpGs	316bp	0.247	0.928	0.681	0.572	0.468	4.97e-85	U
chr15	49974104	49974169	21158061	21158067	Blood-Granul	chr15:49974104-49974169	6CpGs	65bp	0.0423	0.932	0.89	0.685	0.467	1.53e-62	U
chr19	4464268	4464436	25024923	25024930	Blood-Granul	chr19:4464268-4464436	7CpGs	168bp	0.0419	0.91	0.868	0.681	0.466	1.92e-54	U
chr1	172799879	172800072	1680519	1680525	Blood-Granul	chr1:172799879-172800072	6CpGs	193bp	0.147	0.923	0.776	0.611	0.466	1.01e-71	U
chr8	67350591	67351053	13128448	13128461	Blood-Granul	chr8:67350591-67351053	13CpGs	462bp	0.0703	0.902	0.831	0.612	0.465	2.22e-52	U
chr15	77999189	77999351	21456355	21456361	Blood-Granul	chr15:77999189-77999351	6CpGs	162bp	0.0397	0.883	0.843	0.625	0.465	2.47e-43	U
chr10	68202293	68202428	15706120	15706127	Blood-Granul	chr10:68202293-68202428	7CpGs	135bp	0.0915	0.873	0.781	0.601	0.465	6.37e-48	U
chr6	30329370	30329851	9639858	9639875	Blood-Granul	chr6:30329370-30329851	17CpGs	481bp	0.0879	0.931	0.843	0.723	0.464	5.29e-79	U
chr12	113332229	113332365	18777038	18777043	Blood-Granul	chr12:113332229-113332365	5CpGs	136bp	0.0364	0.927	0.891	0.599	0.464	5.44e-44	U
chr22	19322130	19322466	27325971	27325983	Blood-Granul	chr22:19322130-19322466	12CpGs	336bp	0.141	0.92	0.78	0.629	0.463	1.76e-72	U
